#{"t_start": 1764333360.1245508, "env_id": "None"}
r,l,t
5.1399994,138,183.490809
2.9199991,148,196.794644
3.913333,158,211.088493
9.7733345,162,215.299457
9.026666,170,222.550729
7.1133327,174,226.77849
11.646665,179,232.061556
22.519999,196,246.330293
9.4,154,338.933921
6.2400007,146,354.50801
16.206665,161,357.456338
14.566668,147,365.206951
19.006664,175,375.552184
6.9066668,159,380.70075
7.9333334,169,381.130669
14.706667,160,400.515896
5.46,157,518.183544
8.133334,129,544.080929
2.4466662,128,567.256888
8.08,177,572.524733
8.533332,178,572.524733
7.6466665,167,573.165199
4.8333316,157,575.953832
6.879999,176,600.852654
13.526667,180,731.123049
10.8133335,145,742.290585
6.8666677,158,759.121048
3.0533328,158,763.269588
18.673332,175,779.40759
1.9599979,174,779.576768
12.720002,193,782.006246
10.753331,209,846.510463
7.0599995,153,933.602681
4.08,145,939.521582
2.5533338,133,942.181173
10.500002,177,960.478443
3.953331,160,979.811209
9.039999,176,1004.900896
16.613333,201,1012.890112
18.633331,177,1078.802684
1.5066667,115,1120.776951
6.3133326,150,1128.495297
4.2399974,154,1136.710338
7.2333326,165,1146.997165
12.826666,161,1166.27184
9.373332,150,1193.712402
18.366663,210,1248.385476
6.453334,167,1267.411252
0.89333296,131,1271.53599
11.366668,158,1306.851956
13.6866665,196,1327.452904
11.473331,168,1332.745451
19.506666,192,1334.776548
7.706666,183,1368.804398
15.540001,143,1406.232318
9.339999,159,1416.566409
16.379997,185,1422.067529
6.3199997,141,1471.325066
8.266666,149,1472.70755
18.746666,177,1481.836661
10.126665,179,1511.964341
6.4733334,153,1528.825842
6.8866663,136,1561.740015
12.699998,150,1565.050346
6.88,142,1575.179712
11.3133335,139,1624.546173
9.233334,165,1653.071424
18.526663,157,1653.072427
2.8066654,139,1675.219012
6.093334,118,1692.59585
17.126663,206,1741.581278
7.2333326,164,1770.41528
17.29333,188,1784.732111
3.453332,142,1795.804918
6.7266655,143,1833.404559
19.586666,161,1855.469915
2.5733328,131,1866.551308
10.893332,178,1910.544696
2.913332,141,1939.084538
3.8466663,135,1954.149878
21.206665,195,1974.057984
22.82,184,1992.99799
