#{"t_start": 1761400245.0864158, "env_id": "None"}
r,l,t
2.708572,117,3.47156
14.871428,149,3.957078
9.948571,149,3.957078
19.385715,153,3.988552
2.3000002,153,3.988552
1.9000015,159,4.035856
10.022856,167,4.202636
23.062857,168,4.210643
11.920001,131,5.197429
0.61714363,134,5.83727
18.582855,160,6.051826
12.071428,162,6.06784
5.505714,146,6.090984
16.265713,149,6.122359
10.071428,172,6.282054
9.811428,180,6.462373
15.234287,172,7.631116
13.057143,148,7.979502
3.6857147,137,8.078484
6.528571,152,8.45741
6.2657146,190,8.831176
7.1142864,169,8.840184
6.137145,195,8.861565
11.977142,218,9.548524
9.328572,155,10.222063
3.8628569,109,10.722799
8.491428,175,10.760886
22.428572,173,10.945727
15.885714,150,11.229545
8.457144,171,11.622676
20.642859,206,11.680462
22.95143,159,11.731675
18.928572,150,12.189079
6.0771427,127,12.376331
20.445713,153,12.803816
5.2657166,166,13.080896
1.8371434,143,13.090961
11.888572,151,13.711695
17.597143,163,13.839792
20.805716,192,14.102347
14.902858,135,14.144587
5.8142858,158,14.326601
17.70857,157,15.182377
12.897144,159,15.299546
15.440001,191,15.349902
6.660001,139,15.589144
6.837143,151,15.833274
2.9228573,136,16.036339
13.722857,147,16.076713
7.74,161,16.78399
9.562859,133,17.368499
6.5600014,172,17.901467
6.7200003,148,18.022307
12.9800005,204,18.510292
9.925715,169,18.528167
10.231429,167,18.706462
1.3742869,140,18.769991
8.768571,189,19.104206
8.817144,158,19.624271
28.585712,168,20.33259
6.620001,172,20.480257
8.097143,145,20.581449
4.0514283,145,20.781277
12.265717,165,20.948747
18.117144,130,20.979162
20.651432,175,21.383203
13.611429,153,21.87853
7.1857147,128,22.555643
27.068573,165,22.821427
1.4885721,145,23.081727
8.248574,169,23.108862
4.5028596,143,23.136156
8.411428,144,23.180414
7.888571,161,23.78219
7.7228613,163,24.697636
4.6057153,145,25.020104
1.4257145,131,25.453192
16.302856,140,25.463221
8.065714,151,25.682189
6.1171436,165,25.682189
18.317142,187,26.017588
9.462857,156,26.28731
14.62,141,26.561644
6.8742867,140,27.293205
3.9257145,131,27.42926
9.731429,161,27.870947
29.571426,212,27.975697
20.357141,198,28.159873
5.5657167,161,28.625739
20.137144,206,28.908405
12.942858,174,29.131959
5.765714,132,29.31425
17.114286,171,30.003641
23.705713,158,30.230618
27.105715,176,30.604615
24.577143,174,30.778315
9.711428,153,30.968359
3.8828583,144,31.288678
15.354284,172,31.531656
20.179998,153,31.552162
4.988574,186,32.974808
2.5857148,130,32.97581
26.845713,193,33.334463
13.854286,165,33.349562
21.462856,173,33.647918
6.8857145,146,33.867311
12.557142,169,34.009501
7.6142874,157,34.031763
4.522858,143,35.268423
8.140001,179,35.35091
9.282858,182,35.467517
24.831427,166,35.529023
8.9800005,156,36.151532
6.3885736,176,36.249686
30.574287,194,36.633455
24.965714,217,36.642521
11.371433,169,37.617743
14.380001,179,37.944632
18.017143,186,38.187328
28.022858,216,38.555394
16.111431,169,38.81379
4.0428586,181,38.823033
7.8971453,146,38.831065
22.75143,184,39.575603
1.7857156,139,39.966052
8.925715,179,40.735328
6.662858,171,40.884471
5.325716,159,40.943223
1.7857156,147,41.09932
7.028571,157,41.312852
11.988574,174,41.453374
8.72,197,42.405889
8.717145,180,42.604467
7.92,173,43.589252
13.800009,188,43.601303
15.211426,167,43.601303
25.105715,164,43.677609
9.471426,203,43.890801
30.799995,172,44.066313
12.045717,178,45.074827
25.782858,198,45.271052
8.754287,142,45.748914
28.751427,153,45.77445
21.265717,167,46.278405
9.991428,167,46.450461
28.471428,199,46.458577
9.720006,207,46.613161
7.245716,175,47.908334
29.085712,169,47.957289
24.82,156,48.303214
8.428573,159,48.303214
1.4942865,154,49.005677
11.725717,168,49.054029
16.988571,189,49.248155
8.834284,184,49.285411
4.2114286,136,49.925887
0.7914293,129,50.1407
7.028573,182,50.54123
9.01143,173,50.781711
24.642857,155,51.308812
17.062857,193,51.743321
9.002863,176,51.756467
25.105713,175,51.782664
4.5571423,143,52.609352
31.542856,185,52.628823
7.6057186,172,52.638016
4.8742867,148,52.885877
33.771427,161,53.61432
5.625714,151,53.888539
18.365715,175,54.273975
14.708574,180,54.348135
2.4257154,165,55.201608
25.53143,198,55.541982
23.039999,205,55.732069
16.939999,197,55.931818
33.431427,185,56.454182
14.945715,192,56.878597
1.0314295,137,57.099182
3.3599992,186,57.125206
26.748571,191,57.319953
26.45714,156,57.944375
20.905716,161,58.166386
13.131426,187,58.19651
2.994286,132,58.654929
8.611429,167,58.798497
4.337143,139,58.919514
29.645712,160,59.284991
